,1. open,2. high,3. low,4. close,5. volume,Actual,Predicted,Unnamed: 0,sentiment
2025-06-30,40.32,40.41,40.025,40.2,23504.0,40.2,41.975365,1,0.0395999999999999
2025-07-01,40.01,40.18,39.83,40.16,24072.0,40.16,41.548325,2,0.14156
2025-07-02,40.35,40.8933,40.04,40.7708,19898.0,40.7708,41.189056,3,-0.01185
2025-07-03,40.57,40.75,40.43,40.59,32025.0,40.59,40.977573,4,-0.3353
2025-07-07,40.78,41.34,40.72,41.17,40892.0,41.17,40.851036,8,-0.3386
2025-07-08,41.1,41.75,41.1,41.51,13743.0,41.51,40.859196,9,-0.0881375
2025-07-09,41.29,41.63,41.2,41.41,13802.0,41.41,40.965065,10,-0.0210999999999999
2025-07-10,40.8,41.05,40.7,40.87,16560.0,40.87,41.12328,11,-0.2321
2025-07-11,41.19,41.75,40.99,41.75,35703.0,41.75,41.23979,12,0.2237571428571428
2025-07-14,41.566,41.566,41.08,41.13,62096.0,41.13,41.406498,14,-0.0570714285714285
2025-07-15,41.1,41.2175,40.91,41.03,12149.0,41.03,41.502926,15,0.0415
2025-07-16,40.62,40.99,40.51,40.9059,15945.0,40.9059,41.538227,16,0.0
2025-07-17,40.84,41.4273,40.84,41.39,23971.0,41.39,41.52725,17,-0.206775
2025-07-18,41.73,41.86,41.3,41.35,30340.0,41.35,41.538277,18,-0.245475
2025-07-21,41.24,41.37,41.07,41.28,12479.0,41.28,41.552082,21,0.159225
2025-07-22,41.01,41.1593,40.88,41.1,15085.0,41.1,41.56194,22,-0.3255333333333333
2025-07-23,40.96,41.2225,40.88,41.2225,7288.0,41.2225,41.550835,23,-0.3077
2025-07-24,41.43,41.6,41.1,41.54,16555.0,41.54,41.54577,24,0.4939
2025-07-25,41.38,41.39,40.88,40.89,13262.0,40.89,41.569633,25,0.25865
